datetime,Heures,Consommation,PrevisionJ1,PrevisionJ
1/1/2022,0:00,54615,51500,54200
1/1/2022,0:15,,51100,53750
1/1/2022,0:30,54015,50700,53300
1/1/2022,0:45,,49850,52400
1/1/2022,1:00,52108,49000,51500
1/1/2022,1:15,,49200,51850
1/1/2022,1:30,52239,49400,52200
1/1/2022,1:45,,49050,51700
1/1/2022,2:00,51803,48700,51200
1/1/2022,2:15,,47950,50700
1/1/2022,2:30,51252,47200,50200
1/1/2022,2:45,,46350,49350
1/1/2022,3:00,49431,45500,48500
1/1/2022,3:15,,44950,47900
1/1/2022,3:30,48260,44400,47300
1/1/2022,3:45,,43900,46700
1/1/2022,4:00,47038,43400,46100
1/1/2022,4:15,,43150,45700
1/1/2022,4:30,46254,42900,45300
1/1/2022,4:45,,42850,45200
1/1/2022,5:00,45792,42800,45100
1/1/2022,5:15,,42850,45100
1/1/2022,5:30,46032,42900,45100
1/1/2022,5:45,,43000,45150
1/1/2022,6:00,45999,43100,45200
1/1/2022,6:15,,43250,45450
1/1/2022,6:30,46561,43400,45700
1/1/2022,6:45,,43400,45900
1/1/2022,7:00,46721,43400,46100
1/1/2022,7:15,,43500,46250
1/1/2022,7:30,47240,43600,46400
1/1/2022,7:45,,43650,46750
1/1/2022,8:00,47703,43700,47100
1/1/2022,8:15,,43650,47250
1/1/2022,8:30,47919,43600,47400
1/1/2022,8:45,,43600,47350
1/1/2022,9:00,48244,43600,47300
1/1/2022,9:15,,43850,47750
1/1/2022,9:30,49081,44100,48200
1/1/2022,9:45,,44550,48250
1/1/2022,10:00,49676,45000,48300
1/1/2022,10:15,,45450,48600
1/1/2022,10:30,50187,45900,48900
1/1/2022,10:45,,46100,49350
1/1/2022,11:00,50610,46300,49800
1/1/2022,11:15,,46850,49900
1/1/2022,11:30,51219,47400,50000
1/1/2022,11:45,,48350,50700
1/1/2022,12:00,51838,49300,51400
1/1/2022,12:15,,49050,51600
1/1/2022,12:30,52883,48800,51800
1/1/2022,12:45,,49750,52250
1/1/2022,13:00,53405,50700,52700
1/1/2022,13:15,,49350,51500
1/1/2022,13:30,51854,48000,50300
1/1/2022,13:45,,47350,49650
1/1/2022,14:00,50366,46700,49000
1/1/2022,14:15,,46500,48900
1/1/2022,14:30,49034,46300,48800
1/1/2022,14:45,,45450,47900
1/1/2022,15:00,47886,44600,47000
1/1/2022,15:15,,44350,46750
1/1/2022,15:30,47304,44100,46500
1/1/2022,15:45,,43900,46250
1/1/2022,16:00,46766,43700,46000
1/1/2022,16:15,,43750,45950
1/1/2022,16:30,46826,43800,45900
1/1/2022,16:45,,44400,46400
1/1/2022,17:00,47356,45000,46900
1/1/2022,17:15,,46300,48100
1/1/2022,17:30,49740,47600,49300
1/1/2022,17:45,,48600,50150
1/1/2022,18:00,52107,49600,51000
1/1/2022,18:15,,50100,51400
1/1/2022,18:30,53640,50600,51800
1/1/2022,18:45,,51200,52300
1/1/2022,19:00,54913,51800,52800
1/1/2022,19:15,,52100,53000
1/1/2022,19:30,55485,52400,53200
1/1/2022,19:45,,52300,53200
1/1/2022,20:00,55024,52200,53200
1/1/2022,20:15,,52000,53100
1/1/2022,20:30,54151,51800,53000
1/1/2022,20:45,,51250,52550
1/1/2022,21:00,53365,50700,52100
1/1/2022,21:15,,50100,51350
1/1/2022,21:30,52539,49500,50600
1/1/2022,21:45,,49000,49900
1/1/2022,22:00,51661,48500,49200
1/1/2022,22:15,,49150,49850
1/1/2022,22:30,52396,49800,50500
1/1/2022,22:45,,51000,51650
1/1/2022,23:00,54428,52200,52800
1/1/2022,23:15,,52000,52650
1/1/2022,23:30,53885,51800,52500
1/1/2022,23:45,,51950,52300
1/2/2022,0:00,53707,52100,52800
1/2/2022,0:15,,51300,52000
1/2/2022,0:30,52442,50500,51200
1/2/2022,0:45,,49500,50300
1/2/2022,1:00,50317,48500,49400
1/2/2022,1:15,,49050,49750
1/2/2022,1:30,50287,49600,50100
