datetime,Heures,Perimetre,TauxdeCo
1/1/2022,0:00,France,25
1/1/2022,0:15,France,
1/1/2022,0:30,France,30
1/1/2022,0:45,France,
1/1/2022,1:00,France,31
1/1/2022,1:15,France,
1/1/2022,1:30,France,31
1/1/2022,1:45,France,
1/1/2022,2:00,France,31
1/1/2022,2:15,France,
1/1/2022,2:30,France,32
1/1/2022,2:45,France,
1/1/2022,3:00,France,33
1/1/2022,3:15,France,
1/1/2022,3:30,France,34
1/1/2022,3:45,France,
1/1/2022,4:00,France,35
1/1/2022,4:15,France,
1/1/2022,4:30,France,35
1/1/2022,4:45,France,
1/1/2022,5:00,France,36
1/1/2022,5:15,France,
1/1/2022,5:30,France,35
1/1/2022,5:45,France,
1/1/2022,6:00,France,35
1/1/2022,6:15,France,
1/1/2022,6:30,France,35
1/1/2022,6:45,France,
1/1/2022,7:00,France,35
1/1/2022,7:15,France,
1/1/2022,7:30,France,34
1/1/2022,7:45,France,
1/1/2022,8:00,France,33
1/1/2022,8:15,France,
1/1/2022,8:30,France,33
1/1/2022,8:45,France,
1/1/2022,9:00,France,32
1/1/2022,9:15,France,
1/1/2022,9:30,France,31
1/1/2022,9:45,France,
1/1/2022,10:00,France,31
1/1/2022,10:15,France,
1/1/2022,10:30,France,30
1/1/2022,10:45,France,
1/1/2022,11:00,France,30
1/1/2022,11:15,France,
1/1/2022,11:30,France,29
1/1/2022,11:45,France,
1/1/2022,12:00,France,29
1/1/2022,12:15,France,
1/1/2022,12:30,France,29
1/1/2022,12:45,France,
1/1/2022,13:00,France,28
1/1/2022,13:15,France,
1/1/2022,13:30,France,28
1/1/2022,13:45,France,
1/1/2022,14:00,France,28
1/1/2022,14:15,France,
1/1/2022,14:30,France,28
1/1/2022,14:45,France,
1/1/2022,15:00,France,28
1/1/2022,15:15,France,
1/1/2022,15:30,France,28
1/1/2022,15:45,France,
1/1/2022,16:00,France,29
1/1/2022,16:15,France,
1/1/2022,16:30,France,29
1/1/2022,16:45,France,
1/1/2022,17:00,France,28
1/1/2022,17:15,France,
1/1/2022,17:30,France,28
1/1/2022,17:45,France,
1/1/2022,18:00,France,27
1/1/2022,18:15,France,
1/1/2022,18:30,France,26
1/1/2022,18:45,France,
1/1/2022,19:00,France,26
1/1/2022,19:15,France,
1/1/2022,19:30,France,26
1/1/2022,19:45,France,
1/1/2022,20:00,France,27
1/1/2022,20:15,France,
1/1/2022,20:30,France,27
1/1/2022,20:45,France,
1/1/2022,21:00,France,28
1/1/2022,21:15,France,
1/1/2022,21:30,France,28
1/1/2022,21:45,France,
1/1/2022,22:00,France,29
1/1/2022,22:15,France,
1/1/2022,22:30,France,29
1/1/2022,22:45,France,
1/1/2022,23:00,France,29
1/1/2022,23:15,France,
1/1/2022,23:30,France,30
1/1/2022,23:45,France,
1/2/2022,0:00,France,30
1/2/2022,0:15,France,
1/2/2022,0:30,France,31
1/2/2022,0:45,France,
1/2/2022,1:00,France,32
1/2/2022,1:15,France,
1/2/2022,1:30,France,33
1/2/2022,1:45,France,
1/2/2022,2:00,France,33
1/2/2022,2:15,France,
1/2/2022,2:30,France,33
1/2/2022,2:45,France,
1/2/2022,3:00,France,34
1/2/2022,3:15,France,
1/2/2022,3:30,France,35
1/2/2022,3:45,France,
1/2/2022,4:00,France,35
1/2/2022,4:15,France,
1/2/2022,4:30,France,35
1/2/2022,4:45,France,
1/2/2022,5:00,France,35
1/2/2022,5:15,France,
1/2/2022,5:30,France,34
1/2/2022,5:45,France,
1/2/2022,6:00,France,34
1/2/2022,6:15,France,
1/2/2022,6:30,France,33
1/2/2022,6:45,France,
1/2/2022,7:00,France,33
1/2/2022,7:15,France,
1/2/2022,7:30,France,33
1/2/2022,7:45,France,
1/2/2022,8:00,France,31
1/2/2022,8:15,France,
1/2/2022,8:30,France,31
1/2/2022,8:45,France,
1/2/2022,9:00,France,30
1/2/2022,9:15,France,
1/2/2022,9:30,France,29
1/2/2022,9:45,France,
1/2/2022,10:00,France,29
1/2/2022,10:15,France,
1/2/2022,10:30,France,28
1/2/2022,10:45,France,
1/2/2022,11:00,France,28
1/2/2022,11:15,France,
1/2/2022,11:30,France,27
1/2/2022,11:45,France,
1/2/2022,12:00,France,26
1/2/2022,12:15,France,
1/2/2022,12:30,France,26
1/2/2022,12:45,France,
1/2/2022,13:00,France,26
1/2/2022,13:15,France,
1/2/2022,13:30,France,26
1/2/2022,13:45,France,
1/2/2022,14:00,France,26
1/2/2022,14:15,France,
1/2/2022,14:30,France,27
1/2/2022,14:45,France,
1/2/2022,15:00,France,27
1/2/2022,15:15,France,
1/2/2022,15:30,France,27
1/2/2022,15:45,France,
1/2/2022,16:00,France,27
1/2/2022,16:15,France,
1/2/2022,16:30,France,26
1/2/2022,16:45,France,
1/2/2022,17:00,France,26
1/2/2022,17:15,France,
1/2/2022,17:30,France,25
1/2/2022,17:45,France,
1/2/2022,18:00,France,24
1/2/2022,18:15,France,
1/2/2022,18:30,France,24
1/2/2022,18:45,France,
1/2/2022,19:00,France,23
1/2/2022,19:15,France,
1/2/2022,19:30,France,24
1/2/2022,19:45,France,
1/2/2022,20:00,France,24
1/2/2022,20:15,France,
1/2/2022,20:30,France,25
1/2/2022,20:45,France,
1/2/2022,21:00,France,26
1/2/2022,21:15,France,
1/2/2022,21:30,France,26
1/2/2022,21:45,France,
1/2/2022,22:00,France,27
1/2/2022,22:15,France,
1/2/2022,22:30,France,27
1/2/2022,22:45,France,
1/2/2022,23:00,France,27
1/2/2022,23:15,France,
1/2/2022,23:30,France,28
1/2/2022,23:45,France,
1/3/2022,0:00,France,29
1/3/2022,0:15,France,
1/3/2022,0:30,France,29
1/3/2022,0:45,France,
1/3/2022,1:00,France,30
1/3/2022,1:15,France,
1/3/2022,1:30,France,29
1/3/2022,1:45,France,
1/3/2022,2:00,France,30
1/3/2022,2:15,France,
1/3/2022,2:30,France,30
1/3/2022,2:45,France,
1/3/2022,3:00,France,31
1/3/2022,3:15,France,
1/3/2022,3:30,France,31
1/3/2022,3:45,France,
1/3/2022,4:00,France,31
1/3/2022,4:15,France,
1/3/2022,4:30,France,31
1/3/2022,4:45,France,
1/3/2022,5:00,France,31
